Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,330.529999,338.200012,330.109985,331.609985,331.609985,1444400
2021-06-08,334.869995,335.48999,328.329987,331,331,1134100
2021-06-09,331.089996,331.769989,325.600006,327.220001,327.220001,861400
2021-06-10,329.019989,332.76001,327.51001,329.799988,329.799988,671500
2021-06-11,331.100006,338.690002,329.540009,338.299988,338.299988,957700
2021-06-14,340.769989,347.23999,335.200012,337.619995,337.619995,895800
2021-06-15,336.390015,336.570007,333.420013,335.190002,335.190002,644600
2021-06-16,337.519989,339.140015,333.470001,337.26001,337.26001,841200
2021-06-17,335.149994,351.100006,334.5,349.399994,349.399994,2003600
2021-06-18,346.209991,351.26001,343.48999,347.570007,347.570007,1509700
2021-06-21,348.170013,354.48999,345.720001,352.290009,352.290009,829000
2021-06-22,352.279999,360.25,352.049988,359.109985,359.109985,921600
2021-06-23,358.26001,362.170013,357.019989,359.399994,359.399994,684500
2021-06-24,362.839996,364.959991,361.170013,361.910004,361.910004,768200
2021-06-25,365,371,361,363.690002,363.690002,1707700
2021-06-28,365.059998,367.790009,363.519989,363.790009,363.790009,1222100
2021-06-29,363.790009,368.320007,363.149994,366.660004,366.660004,648800
2021-06-30,366.339996,367.25,364.48999,364.970001,364.970001,663900
2021-07-01,363.790009,366.51001,361.51001,364.230011,364.230011,880800
2021-07-02,365.869995,369.549988,365.51001,368.470001,368.470001,697300
2021-07-06,369.950012,372.410004,364.73999,371.369995,371.369995,948000
2021-07-07,374,378,371.26001,377.820007,377.820007,836800
2021-07-08,370.679993,375.149994,368.679993,373.529999,373.529999,795500
2021-07-09,373.910004,378.429993,372.769989,377.420013,377.420013,671400
2021-07-12,375.929993,378,366.579987,368.910004,368.910004,806000
2021-07-13,367.040009,372.619995,365.880005,370.769989,370.769989,647000
2021-07-14,377.339996,385.899994,375.829987,376.98999,376.98999,2119400
2021-07-15,379.609985,380.820007,370.380005,376.170013,376.170013,1186200
2021-07-16,376.410004,378.5,370.980011,371.690002,371.690002,623700
2021-07-19,367.779999,373.720001,364.51001,373.040009,373.040009,903900
2021-07-20,375.269989,387.920013,373.559998,383.299988,383.299988,1637800
2021-07-21,383.200012,386.369995,380.5,383.619995,383.619995,682400
2021-07-22,383.75,397.5,383.75,395.850006,395.850006,1196500
2021-07-23,394.98999,405.950012,394.130005,402.790009,402.790009,1214700
2021-07-26,402.570007,405.940002,392.540009,395.440002,395.440002,799200
2021-07-27,394.269989,394.269989,385.73999,391.429993,391.429993,652300
2021-07-28,392.350006,394.769989,389.130005,393.089996,393.089996,511500
